set comp := HSBA	RDSA	RIO	BP	GSK	DGE	AZN	VOD	CLEN	ULVR;
set date := r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	r51	r52	r53	r54	r55	r56	r57	r58	r59	r60	r61	r62	r63	r64	r65	r66	r67	r68	r69	r70	r71	r72	r73	r74	r75	r76	r77	r78	r79	r80	r81	r82	r83	r84	r85	r86	r87	r88	r89	r90	r91	r92	r93	r94	r95	r96	r97	r98	r99	r100	r101	r102	r103	r104;

param matrix: HSBA	RDSA	RIO	BP	GSK	DGE	AZN	VOD	CLEN	ULVR :=
r1	-0.007045051	0.005954825	0.002281879	0.015286425	-0.013225569	-0.012528913	-0.03011583	-0.012309149	-0.027451482	-0.005951582
r2	-0.013630913	0.046411689	0.047967365	0.037959418	-0.004024881	-0.005368098	0.031461569	0.01739332	0.031726562	0.011227978
r3	-0.000400732	0.005835314	-0.012638889	0.012197601	-0.103052182	0.015774099	-0.027121271	-0.005764353	-0.029085139	0.016702761
r4	0.026525916	0.012251149	-0.023993493	0.002241251	0.00494723	0.006270821	0.006826604	0.005564628	0.004248555	-0.075846785
r5	-0.023649128	-0.005223069	0.003400435	0.000815648	-0.008177952	0.010095012	-0.00523865	0.018177483	0.026437755	0.027498893
r6	0.026862136	0.021792306	0.058450907	0.027446064	0.026872691	0.029759478	0.040161453	0.014367816	0.072807	0.01458672
r7	0.01375321	0.026712329	-0.007714286	0.022931809	0.009837178	0.006772009	0.008754072	0.002641071	-0.014835069	0.012898645
r8	0.026977387	0.041617122	0.013758146	0.040936991	0.013755158	-0.020699357	0.040788219	0.008718833	0.00769229	-0.019431969
r9	-0.029339226	-0.016604303	-0.041105402	0.004819534	-0.026773762	-0.04067862	-0.014718163	-0.034152061	-0.043596327	-0.035167479
r10	-0.027077439	0.007540057	-0.042292858	0.003035427	-0.025122349	0.001738123	0.043004899	-0.0261959	-0.01076296	0.004009773
r11	0.009289179	-0.009568261	0.026905217	-0.001683502	0.008555446	0.00817757	0.020895854	-0.000455401	0.040249484	-0.004766628
r12	0.008964906	0.013241901	0.067502551	0.0125	0.019798658	0.007256325	0.011580841	0.002510856	0.027223608	0.012798867
r13	-0.000814267	0.006905347	0.041717474	-0.001070852	0.023055133	0.046419208	0.030121777	-0.0020501	0.066615019	0.01817566
r14	-0.03214341	-0.021988112	-0.049633344	-0.02789838	-0.038461511	-0.011586106	-0.033083404	-0.024444444	-0.046773224	0.011382181
r15	0.03415822	0.031907425	0.011986274	0.03575437	0.010207466	0.024979516	0.011714834	0.02133453	0.019773527	0.006933199
r16	0.011563032	0.017556454	0.045034305	-0.003584925	-0.059752318	0.0684752	-0.130143632	-0.025221226	0.056450404	-0.011649114
r17	0.001635055	0.014146384	-0.021164809	-0.001230878	0.004041006	0.000218723	0.030709204	0.03290675	-0.00806714	0.025444036
r18	0.007827605	0.002935408	0.023301014	0.006078998	-0.003716327	0.010614868	-0.025633526	0.000228585	0.063414634	0.021869277
r19	0.023183859	0.004422586	0.03254159	-0.012780602	-0.012840095	-0.003306241	-0.000973669	0.004592423	0.034992986	0.005535458
r20	0.045541291	-0.015243132	0.062080311	-0.01413389	-0.042727552	-0.015835132	-0.049250132	-0.026598109	0.027549266	-0.030451462
r21	-0.009458639	-0.022931474	-0.028639688	-0.022072212	0.013946568	-0.015588289	0.022142308	0.005167351	-0.000893681	0.002104545
r22	-0.012217888	0.004035103	-0.037371681	0.022570391	-0.007656018	0.006663778	-0.009930739	0.047734323	-0.051694905	-0.012013524
r23	0.025501167	0.009343605	0.034378975	-0.013830347	-0.004689364	-0.015032784	-0.005033512	-0.038704031	0.028770763	-0.010062824
r24	0.005037083	-0.014636524	-0.010658365	-0.024865658	0.03802858	0.010483525	0.026210084	-0.001086038	-0.019658147	0.014383567
r25	0.026171492	0.0172822	0.007103451	0.005083141	-0.0024279	0.019633507	0.021097878	0.04493871	-0.008978445	0.0416868
r26	-0.018581368	-0.012587359	0.066498268	0.043995311	0.001195756	-0.005639932	-0.011012363	0.043828508	0.045937485	0.008653194
